,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
1294,23678341,0.75,False,Bos en Lommer,52.38,4.848,Entire home/apt,4,2,3,16,350.0,3,14,True,0,1,4.83,False,87.5,1050.0,0.1,0.16,0.3,4.99,0.0,1750.0
1295,23683563,0.56,False,Bos en Lommer,52.38,4.855,Entire home/apt,2,1,1,5,130.0,5,1124,True,0,1,4.85,False,65.0,650.0,0.06,0.09,0.2,4.99,0.019178082191780823,656.5753424657535
1296,23728825,0.48,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,2,1,1,6,108.0,3,1125,True,0,0,5.0,False,54.0,324.0,0.05,0.2,0.21,4.99,0.0,594.082191780822
1297,23729261,0.0,False,De Pijp - Rivierenbuurt,52.34,4.895,Private room,2,1,1,7,89.0,3,1124,True,0,0,4.78,False,44.5,267.0,0.06,0.08,0.16,4.99,0.0,445.0
1298,23776178,0.76,False,Centrum-West,52.38,4.88,Entire home/apt,4,2,2,13,400.0,4,1125,True,0,0,4.63,True,100.0,1600.0,0.13,0.11,0.27,10.99,0.0,2000.0
1299,23784352,0.64,False,Centrum-West,52.38,4.89,Private room,2,1,2,8,164.0,2,180,True,1,6,5.0,False,82.0,328.0,0.07,0.19,0.16,4.99,0.0027397260273972603,822.068493150685
1300,23802729,0.0,False,Noord-West,52.4,4.902,Entire home/apt,5,3,4,11,250.0,3,60,True,0,0,5.0,False,50.0,750.0,0.07,0.15,0.11,4.99,0.0,1250.0
1301,23806047,0.69,False,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,4,2,2,8,200.0,4,8,True,0,0,4.9,False,50.0,800.0,0.12,0.13,0.23,4.99,0.0,1210.0958904109589
1302,23815895,0.56,False,Centrum-West,52.38,4.887,Private room,2,1,2,13,190.0,3,21,True,2,2,5.0,False,95.0,570.0,0.08,0.2,0.21,4.99,0.005479452054794521,950.0
1303,23832372,0.8,False,Bos en Lommer,52.38,4.848,Entire home/apt,2,1,1,3,125.0,2,1125,True,2,1,4.95,False,62.5,250.0,0.06,0.15,0.2,4.99,0.019178082191780823,720.068493150685
1304,23852143,1.0,False,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,2,1,1,7,234.0,-24,1001,True,0,2,5.0,False,117.0,234000.0,0.07,0.17,0.21,4.99,0.0,1194.4794520547946
1305,23896625,1.0,True,Watergraafsmeer,52.34,4.93,Private room,4,1,2,6,158.0,2,7,True,0,3,4.8,False,39.5,316.0,0.09,0.23,0.18,4.99,0.5671232876712329,760.7945205479452
1306,23937912,1.0,False,Watergraafsmeer,52.34,4.902,Private room,2,1,1,2,111.0,3,30,True,2,1,4.8,True,55.5,333.0,0.07,0.1,0.21,4.99,0.2410958904109589,556.6027397260274
1307,23971011,0.73,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,3,9,180.0,4,28,True,0,1,5.0,True,45.0,720.0,0.08,0.13,0.22,4.99,0.0,996.3698630136986
1308,23984557,1.0,False,Watergraafsmeer,52.34,4.94,Entire home/apt,2,1,3,9,200.0,3,7,True,0,0,5.0,False,100.0,600.0,0.05,0.14,0.19,4.99,0.0,1000.0
1309,24003503,1.0,True,Noord-West,52.4,4.87,Entire home/apt,8,4,7,14,228.0,1,180,True,9,2,4.78,True,28.5,228.0,0.08,0.18,0.26,4.99,0.13972602739726028,1049.986301369863
1310,24018750,0.72,False,Oud-Noord,52.38,4.914,Private room,2,1,2,5,165.0,3,1125,True,0,0,5.0,False,82.5,495.0,0.07,0.16,0.23,4.99,0.0,825.0
1311,24068988,1.0,True,Oostelijk Havengebied - Indische Buurt,52.38,4.94,Private room,4,1,3,8,179.0,7,31,True,1,2,4.91,True,44.75,1253.0,0.07,0.19,0.16,4.99,0.03561643835616438,893.6986301369863
1312,24134953,0.81,False,Centrum-West,52.38,4.887,Private room,2,1,1,3,135.0,3,60,True,1,0,4.92,False,67.5,405.0,0.06,0.16,0.18,4.99,0.7863013698630137,724.2191780821918
1313,24137393,1.0,True,Bijlmer-Centrum,52.3,4.96,Private room,2,1,1,5,63.0,1,15,True,0,1,4.51,True,31.5,63.0,0.05,0.07,0.15,2.99,0.043835616438356165,276.73972602739724
1314,24217698,0.84,False,Centrum-Oost,52.38,4.88,Private room,4,1,2,14,389.0,2,180,True,3,4,4.73,True,97.25,778.0,0.12,0.19,0.26,4.99,0.852054794520548,3443.095890410959
1315,24238949,0.0,False,De Baarsjes - Oud-West,52.38,4.855,Entire home/apt,3,2,2,2,120.0,3,3,True,0,0,5.0,False,40.0,360.0,0.07,0.15,0.16,4.99,0.0,600.0
1316,24276106,0.25,False,Centrum-West,52.38,4.88,Entire home/apt,4,2,4,3,150.0,4,14,True,0,0,5.0,False,37.5,600.0,0.09,0.15,0.22,4.99,0.030136986301369864,805.2054794520548
1317,24284070,0.69,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,2,13,350.0,3,1124,True,2,0,4.88,True,87.5,1050.0,0.09,0.19,0.29,4.99,0.019178082191780823,1757.972602739726
1318,24305993,0.76,False,Centrum-West,52.38,4.88,Private room,2,1,1,9,166.0,3,30,True,8,1,4.97,False,83.0,498.0,0.06,0.19,0.17,4.99,0.2136986301369863,1014.3835616438356
1319,24362175,0.77,False,Bos en Lommer,52.38,4.86,Entire home/apt,4,2,2,9,300.0,4,30,True,3,0,4.86,False,75.0,1200.0,0.06,0.2,0.2,4.99,0.00821917808219178,1492.1917808219177
1320,24504360,0.84,False,Centrum-West,52.38,4.883,Entire home/apt,3,2,1,13,201.0,4,1122,True,2,1,4.92,False,67.0,804.0,0.08,0.1,0.25,4.99,0.1232876712328767,1058.9178082191781
1321,24507312,0.77,False,De Baarsjes - Oud-West,52.38,4.88,Entire home/apt,2,1,1,11,180.0,3,30,True,4,0,4.08,False,90.0,540.0,0.08,0.19,0.2,4.99,0.03561643835616438,1067.4931506849316
1322,24534357,0.5,False,IJburg - Zeeburgereiland,52.34,5.004,Entire home/apt,4,2,5,9,275.0,3,14,True,0,0,5.0,True,68.75,825.0,0.12,0.22,0.24,4.99,0.0136986301369863,1389.3835616438357
1323,24556511,0.74,False,Centrum-West,52.38,4.883,Private room,4,1,3,9,259.0,3,1125,True,7,3,4.68,True,64.75,777.0,0.16,0.17,0.26,4.99,0.5342465753424658,1275.2191780821918
1324,24565009,0.88,False,IJburg - Zeeburgereiland,52.38,4.965,Entire home/apt,4,2,2,6,200.0,6,1125,True,0,2,4.82,False,50.0,1200.0,0.11,0.15,0.3,4.99,0.030136986301369864,1204.6301369863013
1325,24590980,0.75,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,2,1,1,3,150.0,3,365,True,0,0,4.86,False,75.0,450.0,0.09,0.1,0.18,4.99,0.0,639.7123287671233
1326,24591991,1.0,False,De Baarsjes - Oud-West,52.34,4.86,Entire home/apt,2,1,1,8,171.0,3,8,True,0,0,4.92,False,85.5,513.0,0.08,0.15,0.17,4.99,0.0,856.986301369863
1327,24602294,0.94,True,Centrum-Oost,52.38,4.926,Private room,2,1,1,9,114.0,3,1125,True,4,3,4.93,True,57.0,342.0,0.08,0.16,0.18,4.99,0.14794520547945206,582.3424657534247
1328,24615144,0.59,False,Centrum-Oost,52.38,4.887,Entire home/apt,4,2,2,18,428.0,7,1125,True,12,1,4.55,False,107.0,2996.0,0.09,0.17,0.28,10.99,0.7232876712328767,2021.9178082191781
1329,24615621,1.0,False,Geuzenveld - Slotermeer,52.38,4.777,Entire home/apt,4,2,3,7,155.0,3,1125,True,0,0,4.86,True,38.75,465.0,0.08,0.12,0.17,4.99,0.0,773.4931506849315
1330,24646128,0.89,False,IJburg - Zeeburgereiland,52.34,4.996,Private room,2,1,1,1,80.0,3,5,True,0,0,5.0,True,40.0,240.0,0.04,0.13,0.16,4.99,0.0684931506849315,400.0
1331,24682460,1.0,False,Noord-West,52.4,4.902,Entire home/apt,4,2,2,5,130.0,6,1125,True,0,0,4.96,False,32.5,780.0,0.06,0.18,0.2,4.99,0.005479452054794521,653.082191780822
1332,24712459,0.25,False,Centrum-West,52.38,4.883,Entire home/apt,2,1,1,7,130.0,6,15,True,1,0,4.77,False,65.0,780.0,0.07,0.19,0.18,4.99,0.0027397260273972603,650.0
1333,24722485,1.0,False,Oostelijk Havengebied - Indische Buurt,52.38,4.94,Entire home/apt,4,2,2,3,136.0,3,1125,True,0,0,4.95,False,34.0,408.0,0.07,0.11,0.18,4.99,0.0,678.4931506849315
1334,24730066,1.0,False,Oostelijk Havengebied - Indische Buurt,52.38,4.938,Entire home/apt,4,2,2,4,140.0,3,60,True,0,0,4.75,False,35.0,420.0,0.06,0.19,0.21,4.99,0.0,700.0
1335,24743141,0.92,False,De Pijp - Rivierenbuurt,52.34,4.9,Entire home/apt,4,2,3,8,390.0,5,1125,True,3,0,4.92,True,97.5,1950.0,0.01,0.13,0.24,4.99,0.06575342465753424,1992.6301369863013
1336,24766967,0.78,True,De Pijp - Rivierenbuurt,52.34,4.887,Private room,2,1,1,4,120.0,5,1125,True,6,2,4.95,False,60.0,600.0,0.05,0.11,0.18,4.99,0.06301369863013699,479.64383561643837
1337,24827860,0.73,False,De Pijp - Rivierenbuurt,52.34,4.887,Entire home/apt,2,1,1,4,186.0,3,1125,True,0,0,4.96,False,93.0,558.0,0.07,0.08,0.18,4.99,0.0,900.6164383561644
1338,24840523,0.43,False,Bos en Lommer,52.38,4.855,Entire home/apt,2,1,1,3,95.0,3,30,True,0,0,5.0,False,47.5,285.0,0.08,0.12,0.16,4.99,0.0,475.0
1339,24901304,1.0,True,Noord-Oost,52.4,4.93,Entire home/apt,6,3,4,7,195.0,3,9,True,3,2,4.93,False,32.5,585.0,0.06,0.14,0.21,4.99,0.1917808219178082,981.1643835616438
1340,24925828,0.33,False,Oud-Oost,52.38,4.93,Entire home/apt,2,1,1,12,265.0,4,1125,True,14,0,5.0,False,132.5,1060.0,0.13,0.2,0.29,4.99,0.16164383561643836,1325.0
1341,24965334,1.0,False,Geuzenveld - Slotermeer,52.38,4.824,Entire home/apt,4,2,2,5,120.0,5,7,True,0,0,4.88,False,30.0,600.0,0.07,0.12,0.16,4.99,0.0,600.0
1342,24981353,0.93,True,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,4,2,2,16,445.0,7,365,True,1,1,4.63,True,111.25,3115.0,0.1,0.13,0.29,10.99,0.27123287671232876,1595.6575342465753
1343,24998819,0.89,False,IJburg - Zeeburgereiland,52.34,4.996,Private room,2,1,1,1,80.0,3,4,True,0,2,5.0,True,40.0,240.0,0.06,0.14,0.15,4.99,0.057534246575342465,401.986301369863
1344,25004866,1.0,False,Centrum-West,52.38,4.883,Entire home/apt,4,2,2,10,307.0,7,1124,True,1,1,4.86,True,76.75,2149.0,0.15,0.18,0.2,4.99,0.0027397260273972603,1532.7671232876712
1345,25011380,0.35,False,Slotervaart,52.38,4.84,Entire home/apt,2,1,1,5,130.0,3,25,True,0,0,4.82,False,65.0,390.0,0.06,0.11,0.16,4.99,0.0,650.0
1346,25021801,0.0,False,IJburg - Zeeburgereiland,52.34,4.992,Entire home/apt,4,2,2,11,229.0,3,21,True,0,0,5.0,False,57.25,687.0,0.08,0.21,0.22,4.99,0.0027397260273972603,1145.0
1347,25023128,0.58,False,Oud-Noord,52.4,4.906,Entire home/apt,2,1,1,1,90.0,3,1124,True,0,2,5.0,False,45.0,270.0,0.06,0.14,0.15,4.99,0.0,558.8356164383562
1348,25051800,1.0,False,Bijlmer-Centrum,52.3,4.957,Entire home/apt,4,2,5,7,183.0,5,28,True,11,0,4.71,True,45.75,915.0,0.07,0.17,0.25,4.99,0.12876712328767123,1137.164383561644
1349,25159692,1.0,False,Oostelijk Havengebied - Indische Buurt,52.38,4.938,Entire home/apt,2,1,1,2,90.0,5,14,True,0,0,5.0,True,45.0,450.0,0.06,0.09,0.15,4.99,0.0,493.82191780821915
1350,25162622,0.62,True,Centrum-West,52.38,4.89,Private room,2,1,1,6,126.0,3,1120,True,2,4,4.91,False,63.0,378.0,0.07,0.11,0.19,4.99,0.07397260273972603,624.027397260274
1351,25179644,0.98,True,Centrum-Oost,52.38,4.902,Private room,2,1,1,6,177.0,1,365,True,1,0,4.82,True,88.5,177.0,0.08,0.27,0.18,4.99,0.6520547945205479,1003.3150684931506
1352,25227661,0.67,False,Oud-Oost,52.34,4.926,Entire home/apt,2,1,1,6,90.0,4,1125,True,0,0,4.85,False,45.0,360.0,0.05,0.11,0.14,4.99,0.0,450.0
1353,25273911,0.88,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,3,2,4,14,180.0,30,90,True,0,0,4.89,False,60.0,5400.0,0.07,0.22,0.19,4.99,0.0027397260273972603,1406.3013698630136
1354,25310162,0.84,False,Centrum-West,52.38,4.895,Private room,2,1,1,5,116.0,1,1125,True,3,4,4.57,True,58.0,116.0,0.05,0.12,0.21,4.99,0.1095890410958904,578.2191780821918
1355,25310429,1.0,False,Centrum-West,52.38,4.895,Private room,2,1,1,9,129.0,1,1125,True,5,5,4.68,True,64.5,129.0,0.07,0.19,0.16,4.99,0.08493150684931507,646.1232876712329
1356,25336232,0.31,False,Centrum-Oost,52.38,4.887,Entire home/apt,2,1,1,12,231.0,7,1125,True,10,0,5.0,False,115.5,1617.0,0.09,0.14,0.29,4.99,0.6136986301369863,1077.7260273972602
1357,25338761,0.78,False,Centrum-Oost,52.38,4.887,Entire home/apt,2,1,1,9,218.0,7,1125,True,8,1,5.0,False,109.0,1526.0,0.11,0.19,0.26,4.99,0.03287671232876712,1069.4109589041095
1358,25339698,0.57,False,Centrum-Oost,52.38,4.887,Entire home/apt,2,1,1,11,242.0,7,1125,True,11,1,5.0,False,121.0,1694.0,0.09,0.14,0.26,4.99,0.5726027397260274,1144.027397260274
1359,25348531,0.7,False,Oud-Oost,52.38,4.914,Entire home/apt,4,2,3,10,200.0,5,14,True,0,1,4.9,False,50.0,1000.0,0.08,0.2,0.2,4.99,0.04657534246575343,1138.9041095890411
1360,25391426,0.47,False,Zuid,52.34,4.863,Entire home/apt,2,1,1,6,155.0,5,1125,True,6,0,5.0,False,77.5,775.0,0.06,0.19,0.23,4.99,0.6164383561643836,908.3150684931506
1361,25409372,0.67,False,Westerpark,52.38,4.887,Entire home/apt,2,1,1,6,120.0,2,30,True,0,2,4.9,False,60.0,240.0,0.07,0.14,0.2,4.99,0.0,601.5753424657535
1362,25414220,0.89,False,De Baarsjes - Oud-West,52.38,4.87,Entire home/apt,4,2,4,14,260.0,5,30,True,0,0,4.97,True,65.0,1300.0,0.08,0.13,0.3,4.99,0.0027397260273972603,1319.4657534246576
1363,25421355,1.0,False,Geuzenveld - Slotermeer,52.38,4.812,Entire home/apt,4,2,4,3,100.0,4,20,True,0,0,4.71,False,25.0,400.0,0.06,0.16,0.21,4.99,0.0,500.32876712328766
1364,25435485,0.73,False,Zuid,52.34,4.848,Entire home/apt,3,2,2,11,140.0,5,365,True,0,0,5.0,False,46.66,700.0,0.06,0.15,0.2,4.99,0.0,700.0
1365,25436200,1.0,False,De Baarsjes - Oud-West,52.38,4.855,Entire home/apt,4,2,3,9,200.0,3,7,True,0,0,4.93,False,50.0,600.0,0.06,0.31,0.25,4.99,0.0,1000.0
1366,25463991,0.76,False,Centrum-Oost,52.38,4.887,Entire home/apt,6,3,5,18,429.0,7,1125,True,2,0,4.46,True,71.5,3003.0,0.1,0.16,0.2,10.99,0.6684931506849315,2031.7260273972602
1367,25500038,0.48,False,Zuid,52.34,4.863,Entire home/apt,2,1,1,10,217.0,3,6,True,12,0,4.74,False,108.5,651.0,0.1,0.28,0.27,4.99,0.4986301369863014,991.3013698630137
1368,25735095,1.0,True,Oud-Noord,52.4,4.926,Entire home/apt,4,2,2,2,50.0,7,30,True,0,0,4.65,False,12.5,350.0,0.05,0.14,0.15,2.99,0.0,249.24657534246575
1369,25760744,0.14,False,Bos en Lommer,52.38,4.855,Entire home/apt,2,1,1,5,125.0,10,16,True,1,0,4.75,False,62.5,1250.0,0.07,0.16,0.16,4.99,0.01643835616438356,623.7671232876712
1370,25775511,0.74,False,Centrum-West,52.38,4.88,Private room,4,1,4,12,294.0,2,1124,True,0,7,4.78,True,73.5,588.0,0.12,0.29,0.17,4.99,0.6493150684931507,1884.5342465753424
1371,25802945,1.0,False,Geuzenveld - Slotermeer,52.38,4.82,Entire home/apt,2,1,1,7,149.0,5,21,True,0,0,5.0,False,74.5,745.0,0.06,0.13,0.16,4.99,0.021917808219178082,745.013698630137
1372,25818312,0.4,False,Centrum-Oost,52.38,4.887,Entire home/apt,4,2,2,12,250.0,4,1124,True,3,0,4.85,False,62.5,1000.0,0.1,0.2,0.22,4.99,0.01643835616438356,1250.0
1373,25898486,0.86,True,Centrum-Oost,52.38,4.906,Entire home/apt,4,2,3,10,250.0,3,365,True,0,2,4.88,True,62.5,750.0,0.1,0.13,0.26,4.99,0.4958904109589041,1219.890410958904
1374,25902355,1.0,True,De Baarsjes - Oud-West,52.38,4.863,Private room,2,1,1,4,120.0,4,9,True,6,5,4.97,True,60.0,480.0,0.05,0.16,0.18,4.99,0.12602739726027398,600.0
1375,25960980,1.0,True,Oud-Noord,52.4,4.902,Private room,2,1,1,8,187.0,2,1125,True,15,1,4.91,False,93.5,374.0,0.06,0.22,0.24,4.99,0.873972602739726,1041.5068493150684
1376,25968358,0.61,False,De Pijp - Rivierenbuurt,52.34,4.9,Private room,2,1,2,5,96.0,4,4,True,8,2,4.84,False,48.0,384.0,0.05,0.12,0.15,4.99,0.021917808219178082,523.8493150684932
1377,25975448,0.73,False,Centrum-West,52.38,4.895,Private room,4,1,2,12,285.0,1,365,True,1,1,4.38,True,71.25,285.0,0.11,0.17,0.31,4.99,0.3589041095890411,1822.849315068493
1378,25994034,0.89,True,Centrum-West,52.38,4.883,Entire home/apt,2,1,1,12,185.0,5,21,True,0,0,4.88,False,92.5,925.0,0.08,0.18,0.23,4.99,0.0027397260273972603,978.8356164383562
1379,26000168,0.0,False,Zuid,52.34,4.85,Entire home/apt,7,4,6,20,450.0,4,1125,True,0,0,4.11,True,64.3,1800.0,0.11,0.15,0.25,10.99,0.09863013698630137,2250.0
1380,26003691,0.8,False,Bos en Lommer,52.38,4.848,Entire home/apt,4,2,2,11,200.0,4,25,True,0,1,5.0,False,50.0,800.0,0.1,0.18,0.17,4.99,0.030136986301369864,1000.0
1381,26029298,1.0,True,De Baarsjes - Oud-West,52.38,4.875,Entire home/apt,2,1,2,1,140.0,3,30,True,1,2,4.97,True,70.0,420.0,0.05,0.14,0.21,4.99,0.0273972602739726,700.0
1382,26035980,1.0,True,Bijlmer-Centrum,52.3,4.957,Private room,2,1,1,6,52.0,1,7,True,0,5,4.7,True,26.0,52.0,0.06,0.08,0.16,2.99,0.038356164383561646,243.5068493150685
1383,26061816,0.19,False,Zuid,52.34,4.85,Entire home/apt,2,1,2,3,114.0,8,30,True,0,0,5.0,False,57.0,912.0,0.07,0.16,0.18,4.99,0.0,571.3698630136986
1384,26071272,0.19,False,Zuid,52.34,4.863,Private room,1,1,1,5,89.0,7,1125,True,13,2,5.0,False,89.0,623.0,0.06,0.1,0.17,4.99,0.4301369863013699,408.3835616438356
1385,26079314,1.0,False,IJburg - Zeeburgereiland,52.38,4.965,Entire home/apt,3,2,2,1,119.0,3,1125,True,0,0,4.86,False,39.66,357.0,0.09,0.17,0.17,4.99,0.0,596.3698630136986
1386,26105238,0.55,False,Zuid,52.34,4.863,Entire home/apt,2,1,1,2,115.0,3,1125,True,3,0,4.7,False,57.5,345.0,0.07,0.14,0.16,4.99,0.010958904109589041,593.6986301369863
1387,26111547,1.0,False,De Baarsjes - Oud-West,52.38,4.855,Entire home/apt,2,1,1,8,155.0,3,90,True,0,0,4.91,False,77.5,465.0,0.08,0.17,0.22,4.99,0.03561643835616438,786.2876712328767
1388,26114217,1.0,False,De Baarsjes - Oud-West,52.38,4.855,Entire home/apt,2,1,1,1,69.0,3,1125,True,0,0,4.77,False,34.5,207.0,0.07,0.14,0.15,2.99,0.06301369863013699,681.4931506849315
1389,26116665,0.24,False,Oostelijk Havengebied - Indische Buurt,52.38,4.938,Entire home/apt,2,1,1,4,125.0,7,30,True,3,0,5.0,False,62.5,875.0,0.07,0.09,0.17,4.99,0.00821917808219178,625.0
1390,26139659,0.5,False,Westerpark,52.38,4.88,Entire home/apt,2,1,1,6,135.0,3,90,True,0,0,4.89,False,67.5,405.0,0.09,0.14,0.18,4.99,0.0,675.0
1391,26160300,0.0,False,Centrum-Oost,52.38,4.906,Entire home/apt,4,2,4,13,375.0,6,21,True,0,1,4.6,False,93.75,2250.0,0.17,0.33,0.25,4.99,0.04657534246575343,1875.0
1392,26185801,0.0,False,Centrum-Oost,52.38,4.883,Entire home/apt,4,2,2,12,429.0,3,365,True,2,2,4.43,True,107.25,1287.0,0.06,0.22,0.22,10.99,0.6547945205479452,2152.3835616438355
1393,26215451,0.6,False,Gaasperdam - Driemond,52.28,4.992,Entire home/apt,4,2,3,9,169.0,3,30,True,0,1,4.64,False,42.25,507.0,0.07,0.25,0.2,4.99,0.052054794520547946,851.7808219178082
1394,26265461,0.15,False,De Pijp - Rivierenbuurt,52.34,4.887,Entire home/apt,2,1,1,11,143.0,3,14,True,0,1,5.0,False,71.5,429.0,0.05,0.05,0.17,4.99,0.16986301369863013,715.7534246575342
1395,26271194,0.37,False,Oud-Oost,52.38,4.93,Entire home/apt,2,1,1,12,217.0,3,1125,True,4,1,4.94,False,108.5,651.0,0.11,0.26,0.25,4.99,0.03561643835616438,937.013698630137
1396,26292322,0.5,False,IJburg - Zeeburgereiland,52.38,4.97,Entire home/apt,4,2,1,2,125.0,4,1125,True,0,0,4.92,False,31.25,500.0,0.06,0.14,0.16,4.99,0.0,625.0
1397,26294197,0.5,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,2,1,1,7,155.0,2,7,True,1,1,4.94,False,77.5,310.0,0.07,0.16,0.17,4.99,0.021917808219178082,789.3835616438356
1398,26312125,0.35,False,Oud-Noord,52.4,4.934,Entire home/apt,5,3,5,7,190.0,4,14,True,0,0,5.0,False,38.0,760.0,0.07,0.17,0.21,4.99,0.16986301369863013,950.0
1399,26312130,1.0,False,Oud-Oost,52.38,4.93,Entire home/apt,2,1,1,10,133.0,7,12,True,0,0,5.0,False,66.5,931.0,0.06,0.13,0.17,4.99,0.0,619.4383561643835
1400,26314462,0.62,False,Oud-Noord,52.4,4.914,Entire home/apt,4,2,2,3,123.0,4,1125,True,0,0,4.56,False,30.75,492.0,0.07,0.17,0.15,4.99,0.0,614.2465753424658
1401,26329643,1.0,False,Oostelijk Havengebied - Indische Buurt,52.38,4.934,Entire home/apt,2,1,1,7,150.0,3,1125,True,1,1,4.93,True,75.0,450.0,0.07,0.2,0.18,4.99,0.0027397260273972603,705.3424657534247
1402,26383495,0.62,False,De Pijp - Rivierenbuurt,52.34,4.902,Entire home/apt,4,2,5,13,250.0,3,1125,True,0,3,4.91,False,62.5,750.0,0.11,0.25,0.27,4.99,0.0027397260273972603,1250.0
1403,26431371,0.76,True,Centrum-West,52.38,4.89,Entire home/apt,5,3,3,18,417.0,2,1125,True,4,0,4.48,True,83.4,834.0,0.09,0.28,0.32,10.99,0.07123287671232877,2307.123287671233
1404,26465711,0.2,False,Watergraafsmeer,52.34,4.938,Entire home/apt,4,2,3,1,75.0,84,1125,True,0,0,5.0,False,18.75,6300.0,0.06,0.12,0.17,4.99,0.16986301369863013,375.0
1405,26489486,0.29,False,De Baarsjes - Oud-West,52.38,4.867,Entire home/apt,2,1,1,3,81.0,1,1125,True,7,1,4.95,False,40.5,81.0,0.04,0.11,0.17,4.99,0.09315068493150686,548.9041095890411
1406,26489604,0.17,False,Zuid,52.34,4.85,Entire home/apt,4,2,4,9,250.0,4,30,True,4,2,5.0,False,62.5,1000.0,0.16,0.28,0.23,4.99,0.14246575342465753,1250.0
1407,26515155,1.0,False,Centrum-Oost,52.38,4.887,Private room,4,1,4,2,97.0,1,1125,True,0,0,4.67,False,24.25,97.0,0.05,0.12,0.17,4.99,0.049315068493150684,626.8904109589041
1408,26516140,0.37,False,De Pijp - Rivierenbuurt,52.34,4.906,Private room,2,1,2,10,145.0,3,1125,True,7,6,4.96,False,72.5,435.0,0.09,0.14,0.18,4.99,0.3452054794520548,736.7808219178082
1409,26519263,0.5,False,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,2,1,1,2,90.0,5,1125,True,0,0,5.0,False,45.0,450.0,0.04,0.11,0.15,4.99,0.0,450.09589041095893
1410,26551134,1.0,False,Bos en Lommer,52.38,4.85,Entire home/apt,2,1,1,5,106.0,3,8,True,0,1,5.0,False,53.0,318.0,0.06,0.12,0.18,4.99,0.0,530.0
1411,26597244,0.71,False,Oud-Oost,52.34,4.934,Entire home/apt,4,2,4,17,396.0,5,30,True,0,0,4.89,False,99.0,1980.0,0.09,0.24,0.22,4.99,0.18904109589041096,1423.5616438356165
1412,26625840,0.57,False,Oud-Oost,52.34,4.914,Entire home/apt,2,1,1,4,185.0,4,60,True,5,0,5.0,False,92.5,740.0,0.09,0.16,0.22,4.99,0.01643835616438356,964.3424657534247
1413,26728654,1.0,False,De Pijp - Rivierenbuurt,52.34,4.887,Entire home/apt,2,1,1,13,192.0,3,1125,True,0,0,4.8,True,96.0,576.0,0.09,0.19,0.16,4.99,0.0,962.0958904109589
1414,26728984,0.75,True,Centrum-Oost,52.38,4.902,Private room,2,1,1,5,189.0,1,365,True,1,0,4.89,True,94.5,189.0,0.07,0.22,0.16,4.99,0.6219178082191781,1073.6575342465753
1415,26736625,1.0,True,Noord-West,52.4,4.887,Private room,2,1,1,5,86.0,2,45,True,1,6,4.85,True,43.0,172.0,0.07,0.11,0.16,4.99,0.5424657534246575,444.17808219178085
1416,26744310,1.0,True,De Baarsjes - Oud-West,52.34,4.85,Entire home/apt,2,1,2,11,160.0,4,13,True,2,1,4.78,True,80.0,640.0,0.08,0.18,0.2,4.99,0.005479452054794521,795.082191780822
1417,26744905,0.5,False,Westerpark,52.38,4.887,Entire home/apt,2,1,1,7,100.0,7,1125,True,0,0,4.8,False,50.0,700.0,0.06,0.18,0.2,4.99,0.0,500.0
1418,26766473,1.0,False,De Pijp - Rivierenbuurt,52.34,4.887,Entire home/apt,5,3,3,5,200.0,3,220,True,0,0,4.25,True,40.0,600.0,0.12,0.19,0.18,4.99,0.0,1000.0
1419,26781097,0.71,False,Centrum-Oost,52.38,4.902,Private room,2,1,1,3,81.0,3,1125,True,3,6,4.89,True,40.5,243.0,0.07,0.06,0.15,4.99,0.6,429.3835616438356
1420,26793214,0.75,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,4,2,4,11,214.0,2,1125,True,0,0,5.0,False,53.5,428.0,0.09,0.18,0.19,4.99,0.0,1067.6575342465753
1421,26794556,0.86,False,Centrum-Oost,52.38,4.895,Private room,2,1,1,3,221.0,2,90,True,10,1,3.94,False,110.5,442.0,0.07,0.17,0.21,4.99,0.5342465753424658,1322.0821917808219
1422,26794663,0.86,False,Centrum-Oost,52.38,4.895,Private room,2,1,1,7,233.0,2,180,True,9,2,4.49,False,116.5,466.0,0.1,0.18,0.28,4.99,0.4958904109589041,1229.2465753424658
1423,26829033,0.93,True,Centrum-Oost,52.38,4.902,Entire home/apt,6,3,5,13,319.0,3,30,True,0,1,4.88,True,53.16,957.0,0.11,0.23,0.17,4.99,0.0410958904109589,1595.0
